,trade_date,0,close
465,20131210,DR007.IB,4.4
466,20131211,DR007.IB,4.34
467,20131212,DR007.IB,4.31
468,20131213,DR007.IB,4.31
469,20131216,DR007.IB,4.45
470,20131217,DR007.IB,5.5
471,20131218,DR007.IB,6.7
472,20131219,DR007.IB,7.1
473,20131220,DR007.IB,7.6
474,20131223,DR007.IB,8.9
475,20131224,DR007.IB,6.35
476,20131225,DR007.IB,5.5
477,20131226,DR007.IB,5.33
478,20131227,DR007.IB,5.1
479,20131230,DR007.IB,4.93
480,20131231,DR007.IB,5.4
481,20140102,DR007.IB,4.98
482,20140103,DR007.IB,5.0
483,20140106,DR007.IB,4.5
484,20140107,DR007.IB,4.26
485,20140108,DR007.IB,3.44
486,20140109,DR007.IB,3.9
487,20140110,DR007.IB,4.02
488,20140113,DR007.IB,4.02
489,20140114,DR007.IB,3.93
490,20140115,DR007.IB,4.3
491,20140116,DR007.IB,5.2
492,20140117,DR007.IB,5.15
493,20140120,DR007.IB,6.6
494,20140121,DR007.IB,5.55
495,20140122,DR007.IB,5.29
496,20140123,DR007.IB,5.4
497,20140124,DR007.IB,5.01
498,20140127,DR007.IB,4.96
499,20140128,DR007.IB,5.05
500,20140129,DR007.IB,5.35
501,20140130,DR007.IB,5.1
502,20140207,DR007.IB,5.43
503,20140210,DR007.IB,5.3
504,20140211,DR007.IB,5.2
505,20140212,DR007.IB,5.2
506,20140213,DR007.IB,4.5
507,20140214,DR007.IB,4.36
508,20140217,DR007.IB,3.74
509,20140218,DR007.IB,5.0
510,20140219,DR007.IB,4.0
511,20140220,DR007.IB,3.7
512,20140221,DR007.IB,3.0
513,20140224,DR007.IB,3.27
514,20140225,DR007.IB,3.0
515,20140226,DR007.IB,3.09
516,20140227,DR007.IB,3.44
517,20140228,DR007.IB,2.7
518,20140303,DR007.IB,2.4
519,20140304,DR007.IB,3.0
520,20140305,DR007.IB,3.78
521,20140306,DR007.IB,2.49
522,20140307,DR007.IB,2.42
523,20140310,DR007.IB,2.3
524,20140311,DR007.IB,2.46
525,20140312,DR007.IB,2.42
526,20140313,DR007.IB,2.55
527,20140314,DR007.IB,2.6
528,20140317,DR007.IB,2.67
529,20140318,DR007.IB,2.9
530,20140319,DR007.IB,3.42
531,20140320,DR007.IB,3.9
532,20140321,DR007.IB,3.57
533,20140324,DR007.IB,3.58
534,20140325,DR007.IB,3.61
535,20140326,DR007.IB,3.89
536,20140327,DR007.IB,4.83
537,20140328,DR007.IB,4.22
538,20140331,DR007.IB,4.19
539,20140401,DR007.IB,4.22
540,20140402,DR007.IB,4.21
541,20140403,DR007.IB,4.09
542,20140404,DR007.IB,3.02
543,20140408,DR007.IB,3.56
544,20140409,DR007.IB,3.68
545,20140410,DR007.IB,3.69
546,20140411,DR007.IB,4.05
547,20140414,DR007.IB,3.53
548,20140415,DR007.IB,3.43
549,20140416,DR007.IB,2.73
550,20140417,DR007.IB,2.94
551,20140418,DR007.IB,2.0
552,20140421,DR007.IB,2.7
