日期,沪深300,中证500,国债指数,30年国债,大宗商品,豆粕指数,黄金(申万)
Date,000300.SH,000905.SH,000012.SH,931080.CSI,000979.CSI,MFI.WI,850531.SI
2012/8/14,0.2162,0.9489,0.0149,-0.1471,0.7383,0.0488,-0.173
2012/8/15,-1.0777,-1.1567,0.0156,-0.14,-1.5044,1.4928,-1.5053
2012/8/16,-0.5123,-0.7252,0.0097,0.0192,-0.5898,-1.0048,-0.1327
2012/8/17,-0.267,-0.0015,0.006,0.3225,0.3265,0.2227,1.5082
2012/8/20,-0.5052,0.081,0.0231,-0.2255,0.0763,1.3345,-0.0339
2012/8/21,0.5176,1.408,0.0045,-0.0146,0.8844,3.1212,1.083
2012/8/22,-0.783,-0.8886,-0.003,-0.3149,-1.1771,1.1958,-0.2994
2012/8/23,0.2881,0.6618,0.0082,0.3673,1.5195,-0.0376,3.1019
2012/8/24,-1.152,-1.8702,0.0164,0.2305,-2.7113,1.3135,-1.8846
2012/8/27,-2.0861,-2.4931,0.0298,-0.0329,-3.186,1.095,-0.6496
2012/8/28,0.4581,0.5232,0.0089,-0.094,0.324,-0.8156,-0.9215
2012/8/29,-1.0542,-0.6702,0.0089,-0.2961,-1.7302,1.3326,-1.4214
2012/8/30,-0.1555,-1.574,-0.0037,0.1897,-1.1297,0.1803,-2.3578
2012/8/31,-0.294,0.3197,0.0238,-0.2415,-0.2689,-0.5161,-0.4961
2012/9/3,1.0659,1.9368,0.0364,0.0835,1.5018,2.536,4.1426
2012/9/4,-1.0753,-1.1086,0.0082,0.2098,-1.1728,0.424,-1.1138
2012/9/5,-0.2056,0.5363,0.0089,-0.0604,0.1515,-1.2443,1.4137
2012/9/6,0.8159,1.1357,0.0097,-0.0457,1.313,-2.1279,1.592
2012/9/7,4.4799,3.6273,0,-0.2517,5.1287,-0.7004,2.6565
2012/9/10,0.4094,0.868,0.0238,-0.3285,1.4145,0.7044,1.8381
2012/9/11,-0.6351,-0.4019,-0.0319,0.2467,-0.6378,-1.5237,0.5156
2012/9/12,0.3539,0.7771,0.0082,0.0331,1.2152,0.8165,0.6874
2012/9/13,-0.9314,-1.3869,0.0238,0.1221,-1.8516,-0.0024,-2.7493
2012/9/14,0.7431,0.2625,0.0022,-0.1009,1.6411,0.7198,5.3893
2012/9/17,-2.4546,-3.0058,-0.0238,0.011,-2.5107,-3.7177,0.662
2012/9/18,-1.0389,-0.4153,0.0104,0.4158,-1.7357,-1.772,-2.6673
2012/9/19,0.492,0.9803,0.0119,-0.2331,1.6763,0.8995,6.7709
2012/9/20,-2.2386,-2.8903,0.003,0.0156,-3.4863,-0.0619,-2.4155
2012/9/21,0.1417,-0.571,0.0119,0.1173,0.6162,-0.6598,4.0434
2012/9/24,0.7482,0.746,0.0238,0.1702,0.87,-1.1857,-1.4069
2012/9/25,-0.242,-0.7184,0.0327,0.0146,-1.0978,0.81,-3.2909
2012/9/26,-1.143,-2.3031,0.0178,0.0849,-2.0852,-0.7679,-3.2631
2012/9/27,3.0586,2.2491,0.0126,-0.0639,3.3043,-0.0616,3.4433
2012/9/28,1.8381,1.8678,0.0275,-0.2794,2.2788,0.2168,4.0952
2012/10/8,-1.0053,-0.5121,0.0912,-0.543,-1.1163,-2.2741,-2.63
2012/10/9,2.2071,2.5838,0.0044,-0.1952,2.3994,0.4631,1.2455
2012/10/10,0.1707,0.9587,0.0119,0.012,0.7341,-1.4367,0.2388
2012/10/11,-0.9287,-1.4825,0.0089,-0.0876,-1.1365,0.0442,0.1924
2012/10/12,0.0868,-0.2354,0.0052,0.024,0.0818,-1.3815,-1.1413
2012/10/15,-0.4198,-0.5311,0.0348,0.168,-1.5904,-2.4634,-2.6647
2012/10/16,0.144,0.3115,0.0163,0.0673,-0.2434,0.7525,0.0636
2012/10/17,0.1149,0.2335,0.0089,-0.0773,0.5439,0.0636,0.6293
